"","M","n","iterations","conv","sign_level","num.outliers","num.expected","gauge","avar","avar_est","prop_t","prop_p","prop_reject_001","prop_reject_005","prop_reject_010","count_p","count_reject_001","count_reject_005","count_reject_010"
"1",10,1000,"convergence",3,0.05,47,50,0.047,0.118855573977533,0.118855573977533,0.275176585770822,0.783180574669005,FALSE,FALSE,FALSE,0.723834161294795,FALSE,FALSE,FALSE
"2",10,1000,"convergence",2,0.05,49,50,0.049,0.118855573977533,0.118855573977533,0.091725528590274,0.926916114008834,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE
"3",10,1000,"convergence",9,0.05,73,50,0.073,0.118855573977533,0.118855573977533,2.1096871575763,0.0348853114013237,FALSE,TRUE,TRUE,0.00226010498160752,TRUE,TRUE,TRUE
"4",10,1000,"convergence",4,0.05,60,50,0.06,0.118855573977533,0.118855573977533,0.917255285902739,0.359008882256219,FALSE,FALSE,FALSE,0.156835420880066,FALSE,FALSE,FALSE
"5",10,1000,"convergence",3,0.05,44,50,0.044,0.118855573977533,0.118855573977533,0.550353171541644,0.582077161086744,FALSE,FALSE,FALSE,0.436569831931495,FALSE,FALSE,FALSE
"6",10,1000,"convergence",3,0.05,42,50,0.042,0.118855573977533,0.118855573977533,0.733804228722191,0.463068062922966,FALSE,FALSE,FALSE,0.288361629610801,FALSE,FALSE,FALSE
"7",10,1000,"convergence",4,0.05,44,50,0.044,0.118855573977533,0.118855573977533,0.550353171541644,0.582077161086744,FALSE,FALSE,FALSE,0.436569831931495,FALSE,FALSE,FALSE
"8",10,1000,"convergence",8,0.05,63,50,0.063,0.118855573977533,0.118855573977533,1.19243187167356,0.233091949428623,FALSE,FALSE,FALSE,0.0763458290619349,FALSE,FALSE,TRUE
"9",10,1000,"convergence",5,0.05,44,50,0.044,0.118855573977533,0.118855573977533,0.550353171541644,0.582077161086744,FALSE,FALSE,FALSE,0.436569831931495,FALSE,FALSE,FALSE
"10",10,1000,"convergence",4,0.05,53,50,0.053,0.118855573977533,0.118855573977533,0.275176585770821,0.783180574669005,FALSE,FALSE,FALSE,0.670843595344056,FALSE,FALSE,FALSE
